No of DDE-Post,No of DDEs,Session-ID,Student-ID,Total Time(mins)
3,21,"""E21F9-Apr03-21-29-21"")","""E21F9""",0.2833333333333333
3,9,"""E1A13-Apr03-21-29-23"")","""E1A13""",0.9166666666666666
3,8,"""E267F-Apr03-21-24-05"")","""E267F""",7.266666666666667
4,63,"""E18C9-Apr03-21-16-17"")","""E18C9""",16.866666666666667
3,7,"""E267F-Apr03-21-31-34"")","""E267F""",1.6666666666666665
6,40,"""E25E9-Apr03-21-27-32"")","""E25E9""",7.616666666666667
3,7,"""E267F-Apr03-21-33-32"")","""E267F""",2.45
8,40,"""E20EB-Apr03-21-22-38"")","""E20EB""",14.383333333333333
5,32,"""E25E9-Apr03-21-35-24"")","""E25E9""",6.65
8,27,"""E18C9-Apr03-21-33-22"")","""E18C9""",8.85
5,44,"""E21F9-Apr03-21-29-56"")","""E21F9""",12.316666666666666
3,21,"""E25E9-Apr03-21-43-42"")","""E25E9""",0.2833333333333333
3,9,"""E25E9-Apr03-21-44-35"")","""E25E9""",2.183333333333333
3,45,"""E18C9-Apr03-21-42-35"")","""E18C9""",4.65
3,29,"""E21F9-Apr03-21-42-35"")","""E21F9""",7.35
3,8,"""E25E9-Apr03-21-47-07"")","""E25E9""",3.8666666666666667
4,30,"""E21F9-Apr03-21-50-14"")","""E21F9""",5.466666666666667
3,7,"""E1A13-Apr03-21-50-30"")","""E1A13""",5.483333333333333
3,17,"""E267F-Apr03-21-57-38"")","""E267F""",0.3
3,5,"""E1A13-Apr03-21-56-14"")","""E1A13""",1.8666666666666667
3,5,"""E1A13-Apr03-21-58-17"")","""E1A13""",1.1833333333333333
3,23,"""E243F-Apr03-22-00-02"")","""E243F""",3.6833333333333336
5,22,"""E21F9-Apr03-21-55-58"")","""E21F9""",8.666666666666666
4,31,"""E267F-Apr03-21-58-15"")","""E267F""",7.1
4,26,"""E267F-Apr03-22-06-02"")","""E267F""",1.7166666666666668
3,8,"""E25E9-Apr03-21-51-27"")","""E25E9""",16.383333333333333
3,9,"""E267F-Apr03-22-07-57"")","""E267F""",0.7833333333333333
3,27,"""E243F-Apr03-22-04-04"")","""E243F""",4.8
3,7,"""E25E9-Apr03-22-08-10"")","""E25E9""",0.9666666666666667
3,23,"""E243F-Apr03-22-09-07"")","""E243F""",0.45
4,24,"""E267F-Apr03-22-09-01"")","""E267F""",0.9
3,18,"""E21F9-Apr03-22-05-47"")","""E21F9""",4.216666666666667
3,13,"""E243F-Apr03-22-09-57"")","""E243F""",1.95
3,6,"""E21F9-Apr03-22-11-03"")","""E21F9""",1.1833333333333333
3,20,"""E267F-Apr03-22-10-07"")","""E267F""",2.6166666666666667
3,12,"""E25E9-Apr03-22-09-31"")","""E25E9""",4.566666666666666
6,15,"""E1A4F-Apr03-22-09-51"")","""E1A4F""",6.266666666666667
3,11,"""E21F9-Apr03-22-12-39"")","""E21F9""",4.433333333333334
3,29,"""E267F-Apr03-22-12-59"")","""E267F""",4.383333333333334
3,15,"""E1A4F-Apr03-22-16-22"")","""E1A4F""",2.7333333333333334
3,7,"""E25E9-Apr03-22-14-22"")","""E25E9""",4.883333333333333
3,15,"""E267F-Apr03-22-18-09"")","""E267F""",1.3333333333333333
3,5,"""E21F9-Apr03-22-17-27"")","""E21F9""",2.8
7,62,"""E18C9-Apr03-21-47-48"")","""E18C9""",32.8
3,8,"""E25E9-Apr03-22-19-31"")","""E25E9""",1.6166666666666667
3,6,"""E25E9-Apr03-22-21-24"")","""E25E9""",0.9
